
2024/10/19 (12:25:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (13:25:44) | ===> btop++ v.1.4.0
2024/10/19 (13:25:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:19:03) | ===> btop++ v.1.4.0
2024/10/19 (14:19:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (00:24:45) | ===> btop++ v.1.4.0
2024/10/23 (00:24:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (00:27:35) | ===> btop++ v.1.4.0
2024/10/23 (00:27:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (12:29:55) | ===> btop++ v.1.4.0
2024/10/23 (12:29:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (10:20:33) | ===> btop++ v.1.4.0
2024/10/29 (10:20:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (14:04:58) | ===> btop++ v.1.4.0
2024/10/29 (14:04:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (01:21:26) | ===> btop++ v.1.4.0
2024/10/31 (01:21:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (17:44:04) | ===> btop++ v.1.4.0
2024/11/02 (17:44:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (23:15:18) | ===> btop++ v.1.4.0
2024/11/03 (23:15:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (19:12:49) | ===> btop++ v.1.4.0
2024/11/20 (19:12:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (20:42:48) | ===> btop++ v.1.4.0
2024/11/20 (20:42:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (22:15:28) | ===> btop++ v.1.4.0
2024/11/20 (22:15:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (01:24:35) | ===> btop++ v.1.4.0
2024/11/21 (01:24:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (01:28:55) | ===> btop++ v.1.4.0
2024/11/21 (01:28:55) | WARNING: Intel GPU: Failed to initialize PMU

